Date,SPY,EFA,EEM,AGG,LQD,IEF,SHY
2003-09-29,67.4461135864258,21.6590881347656,10.0060873031616,51.7457046508789,45.8644752502441,47.3166351318359,55.6326179504395
2003-09-30,66.7912521362305,21.3849277496338,9.97453689575195,52.0140609741211,46.1687393188477,47.7745628356934,55.7472686767578
2003-10-01,68.2146377563477,22.0867881774902,10.2365036010742,51.9887771606445,46.301586151123,47.9865608215332,55.755973815918
2003-10-02,68.4618835449219,22.0520629882812,10.3832588195801,51.9077644348145,46.1236114501953,47.8140754699707,55.755973815918
2003-10-03,69.0899810791016,22.3737525939941,10.4859943389893,51.5329704284668,45.4821701049805,47.1519241333008,55.6143417358398
2003-10-06,69.4041061401367,22.6077041625977,10.5263519287109,51.6089172363281,45.5276908874512,47.2910270690918,55.6548004150391
2003-10-07,69.67138671875,22.5729789733887,10.5153455734253,51.4316902160645,45.374584197998,47.0183792114258,55.6007804870605
2003-10-08,69.4976501464844,22.4797668457031,10.5938634872437,51.5582809448242,45.5400886535645,47.1018218994141,55.6007804870605
2003-10-09,69.6847686767578,22.6351165771484,10.7721738815308,51.3759613037109,45.3828315734863,46.9516105651855,55.5941047668457
2003-10-10,69.8785781860352,22.7301635742188,10.904257774353,51.6595840454102,45.6062927246094,47.0907363891602,55.6277885437012
2003-10-13,70.0990829467773,22.9549770355225,11.0693655014038,51.4316902160645,45.5773544311523,47.0183792114258,55.6345291137695
2003-10-14,70.346321105957,23.0756130218506,10.8580322265625,51.3303833007812,45.3911361694336,46.8291931152344,55.5805892944336
2003-10-15,70.1592025756836,22.8562850952148,10.9893789291382,51.2037620544434,45.3952903747559,46.6622428894043,55.5131492614746
2003-10-16,70.4398880004883,22.9933586120605,10.986442565918,51.0670394897461,45.2504348754883,46.4062919616699,55.3849487304688
2003-10-17,69.67138671875,22.8745498657227,10.9196672439575,51.3101348876953,45.498664855957,46.6567001342773,55.4524345397949
2003-10-20,70.192626953125,23.1194763183594,10.9805746078491,51.2797241210938,45.5400886535645,46.6900596618652,55.459156036377
2003-10-21,70.0723724365234,23.0408802032471,11.0356073379517,51.3810234069824,45.5566596984863,46.7735366821289,55.4726905822754
2003-10-22,69.1902465820312,22.816068649292,10.8734378814697,51.6089172363281,45.6890449523926,47.1129837036133,55.5333671569824
2003-10-23,69.0632858276367,22.5272750854492,10.7134695053101,51.4823112487793,45.4407653808594,46.9626998901367,55.519905090332
2003-10-24,69.2170181274414,22.5711498260498,10.6569728851318,51.7355155944824,45.7718620300293,47.2910270690918,55.5873222351074
2003-10-27,69.2503967285156,22.6716747283936,10.7795152664185,51.6342277526855,45.6683807373047,47.1630363464355,55.526668548584
2003-10-28,70.192626953125,22.9385318756104,10.9270048141479,51.8368873596191,45.9704895019531,47.3856201171875,55.6211090087891
2003-10-29,70.2861938476562,22.9111080169678,11.0179967880249,51.6089172363281,45.6477165222168,47.0795783996582,55.5603637695312
2003-10-30,70.4332046508789,22.9367008209229,10.9783706665039,51.6089172363281,45.5855751037598,46.9070930480957,55.5131492614746
2003-10-31,70.3663711547852,22.7740325927734,10.8903160095215,51.5279121398926,45.5855751037598,47.0740127563477,55.519905090332
2003-11-03,70.8274688720703,22.8891792297363,11.1500825881958,51.435920715332,45.6092872619629,46.8948097229004,55.4868087768555
2003-11-04,70.6737670898438,23.0152988433838,11.1809024810791,51.5375442504883,45.6799278259277,47.0622940063477,55.5273132324219
2003-11-05,70.7271957397461,22.8836975097656,11.1955795288086,51.5375442504883,45.3600120544434,46.8948097229004,55.4732704162598
2003-11-06,71.1014404296875,22.6826496124268,11.1155939102173,51.257984161377,45.1107521057129,46.6547889709473,55.4124603271484
2003-11-07,70.5735473632812,22.8928318023682,11.1273336410522,51.2834434509277,45.1980094909668,46.5765838623047,55.3652000427246
2003-11-10,70.2861938476562,22.7027435302734,10.9739713668823,51.3799781799316,45.0649948120117,46.5598373413086,55.3787117004395
2003-11-11,70.2661285400391,22.6168384552002,10.8330812454224,51.2885284423828,45.2603073120117,46.6324081420898,55.3787117004395
2003-11-12,71.0546798706055,23.0884094238281,11.0260696411133,51.385082244873,45.2852172851562,46.7831764221191,55.4124603271484
2003-11-13,71.07470703125,23.2200050354004,11.1111907958984,51.7611808776855,45.7131576538086,47.1907234191895,55.5340576171875
2003-11-14,70.4733200073242,23.0628242492676,11.0546875,51.8018455505371,45.9624443054199,47.4474983215332,55.6016883850098
2003-11-17,70.1191024780273,22.6661930084229,10.8389520645142,52.0204582214355,46.0496635437012,47.5033493041992,55.6354293823242
2003-11-18,69.3907470703125,22.7557582855225,10.8602313995361,51.9949913024902,46.2532730102539,47.69873046875,55.6421241760254
2003-11-19,69.9787826538086,22.8105869293213,10.7897863388062,51.7510566711426,45.8461036682129,47.3749313354492,55.5408477783203
2003-11-20,69.3506546020508,22.6643676757812,10.6503648757935,51.9289054870605,46.0662879943848,47.6707611083984,55.6489181518555
2003-11-21,69.6380004882812,22.9092807769775,10.7428207397461,51.9848289489746,46.2200202941895,47.6484909057617,55.6286659240723
2003-11-24,70.5601501464844,23.0810947418213,10.8594961166382,51.7662315368652,45.9084625244141,47.3972816467285,55.5543365478516
2003-11-25,70.8274688720703,23.117654800415,10.8969221115112,51.9696044921875,46.0538368225098,47.5144882202148,55.6150894165039
2003-11-26,71.0813980102539,23.3132228851318,10.9967174530029,51.7815132141113,45.954158782959,47.3972816467285,55.5543365478516
2003-11-28,71.1348571777344,23.3497848510742,11.095046043396,51.7002449035645,45.7256278991699,47.0846366882324,55.4868087768555
