YearMonth,front_1_select,front_2_select,front_3_select,front_4_select,front_5_select,front_6_select,front_7_select,front_8_select,front_9_select,front_10_select,front_11_select,front_12_select,front_13_select,front_14_select,front_15_select,back_1_select,back_2_select,back_3_select,back_4_select,back_5_select,back_6_select,back_7_select,back_8_select,back_9_select,back_10_select,back_11_select,back_12_select,back_13_select,back_14_select,back_15_select
2006-10,IEF,IEF,SPY,SPY,SPY,EEM,EEM,SPY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2006-11,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2006-12,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2007-01,EEM,EEM,EFA,EFA,EFA,EFA,EFA,EEM,EEM,EEM,EFA,EFA,EEM,EEM,EEM,EFA,EFA,EFA,EFA,EFA,EEM,EEM,EEM,EFA,EFA,EEM,EEM,EEM,EFA,EFA
2007-02,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EFA,EFA,EEM,EEM,EEM,EEM,EEM,EFA,EFA,LQD,EEM,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EFA,EEM,EEM,EEM
2007-03,LQD,LQD,IEF,IEF,IEF,IEF,LQD,EFA,IEF,IEF,IEF,IEF,IEF,IEF,EFA,EEM,EEM,IEF,EEM,EFA,EFA,EFA,EFA,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2007-04,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2007-05,EEM,EEM,EEM,EEM,EEM,SPY,EEM,SPY,EEM,SPY,EEM,EEM,EEM,EEM,EEM,SHY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SPY,SPY,EEM,SPY
2007-06,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,EEM,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2007-07,EEM,EEM,EEM,SHY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,IEF,IEF,IEF,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2007-08,IEF,IEF,IEF,IEF,IEF,EEM,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,EEM,IEF,EEM,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2007-09,EEM,EEM,EEM,EEM,IEF,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2007-10,EEM,EEM,EEM,EEM,SHY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,IEF,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,LQD,EEM,EEM,EEM,EEM,EEM,EEM
2007-11,LQD,IEF,IEF,EEM,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2007-12,IEF,IEF,IEF,EEM,EEM,EEM,EEM,EEM,EEM,IEF,IEF,IEF,IEF,IEF,EEM,IEF,IEF,SHY,EEM,EEM,IEF,EEM,IEF,EEM,IEF,IEF,EEM,EEM,EEM,EEM
2008-01,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2008-02,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,SHY,IEF,SHY,SHY,EEM,EEM,IEF,EEM,EEM,EEM,SHY,SHY,SHY,SHY,SHY,SHY,SHY,IEF,IEF,IEF,IEF
2008-03,IEF,IEF,SHY,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2008-04,IEF,EFA,EFA,EFA,EEM,EEM,IEF,EEM,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,IEF,IEF,EEM
2008-05,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,EEM,EEM,EEM,EEM,EEM,EEM,SHY,SHY,SHY,IEF,IEF,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2008-06,SHY,IEF,SHY,SHY,IEF,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,IEF,IEF,IEF,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2008-07,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,SHY,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2008-08,IEF,IEF,IEF,SHY,IEF,IEF,SHY,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2008-09,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,SHY,IEF,SHY,SHY,SHY,IEF,SHY,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2008-10,SHY,SHY,SHY,IEF,IEF,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,LQD,SHY,SHY,SHY,SHY,IEF,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2008-11,SHY,SHY,SHY,LQD,SHY,SHY,LQD,LQD,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,LQD,IEF,LQD,LQD,IEF
2008-12,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,EEM,EEM,EEM,LQD,LQD,LQD,IEF,AGG,EEM,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2009-01,EEM,EEM,EEM,EEM,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,LQD,IEF,LQD,LQD,LQD,LQD,LQD,LQD
2009-02,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,IEF,SHY,IEF,IEF,IEF,IEF,IEF,SHY,IEF,IEF,IEF,IEF,IEF,IEF,SHY,SHY,SHY,SHY,SHY,SHY
2009-03,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,SHY,SHY,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,SHY,SHY,IEF,IEF,IEF
2009-04,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,EEM,EEM,EEM,EEM,EEM,LQD,EEM,EEM,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2009-05,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,EEM,EEM,EEM,EEM,EEM
2009-06,EEM,EEM,EEM,EEM,EEM,LQD,EEM,LQD,LQD,EEM,EEM,LQD,LQD,LQD,SPY,LQD,EEM,EEM,LQD,LQD,LQD,LQD,EFA,LQD,EEM,EEM,EEM,EEM,EEM,LQD
2009-07,LQD,LQD,LQD,LQD,IEF,LQD,IEF,IEF,LQD,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,LQD,IEF
2009-08,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EFA,EEM,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EEM,EFA,EFA,EFA,EFA,EFA,EEM,EEM,EEM,EEM
2009-09,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EEM,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EFA,EEM,EFA
2009-10,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2009-11,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2009-12,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,LQD,LQD,LQD,LQD,EEM,EEM,SPY,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2010-01,LQD,LQD,LQD,LQD,LQD,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,AGG,AGG,AGG,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD
2010-02,IEF,LQD,LQD,IEF,IEF,IEF,IEF,IEF,IEF,SHY,IEF,SHY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SHY,IEF,SHY,SHY,IEF,IEF,IEF,IEF
2010-03,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SPY,SPY,SPY,SPY,SPY,EEM,EEM,EEM,EEM,EEM,EEM
2010-04,EEM,LQD,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,EEM,EEM,EEM,SPY,SPY,SPY,SPY,EEM,EEM,EEM,EEM
2010-05,LQD,LQD,LQD,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2010-06,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,EEM,EEM,EEM,EEM,EEM,LQD,IEF,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,IEF,IEF,IEF,IEF
2010-07,LQD,IEF,IEF,EEM,EEM,EEM,EEM,EEM,EFA,EFA,LQD,LQD,LQD,LQD,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,IEF,LQD,LQD,LQD,LQD,EEM,EEM,EEM
2010-08,EEM,EFA,EEM,EEM,EEM,EEM,EFA,AGG,IEF,IEF,EEM,EEM,EEM,EEM,IEF,IEF,IEF,IEF,IEF,IEF,IEF,LQD,EEM,EEM,EEM,EEM,IEF,IEF,EEM,EEM
2010-09,IEF,IEF,IEF,IEF,IEF,IEF,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2010-10,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2010-11,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SPY,SPY,IEF,SHY,SHY,EEM,IEF,IEF,SPY,LQD,IEF,EEM,EEM,SHY,SHY,IEF,SPY,SPY,EEM,EEM,EEM
2010-12,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,LQD,SHY,SHY,LQD,SHY,SHY,SHY,SHY,SHY,SHY,LQD,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2011-01,EEM,SPY,LQD,LQD,SPY,SPY,SPY,EEM,SPY,SPY,SPY,EEM,SPY,SPY,EFA,LQD,LQD,SPY,EFA,EFA,EFA,SPY,SPY,EEM,SPY,EEM,EEM,SPY,SPY,SPY
2011-02,SPY,SHY,LQD,SHY,SHY,SHY,SHY,SHY,SHY,LQD,LQD,LQD,LQD,LQD,LQD,SPY,SPY,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,SHY,SHY,SHY,SHY
2011-03,LQD,SPY,SPY,SPY,SPY,SPY,EEM,EEM,IEF,IEF,IEF,IEF,IEF,IEF,EEM,SHY,EEM,EEM,EEM,EEM,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,LQD
2011-04,EEM,EEM,EEM,EEM,EEM,EEM,LQD,EEM,EEM,LQD,EEM,EFA,EEM,EEM,EEM,EFA,EFA,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,LQD,LQD,LQD,LQD
2011-05,EFA,EFA,LQD,LQD,LQD,IEF,SPY,SPY,SPY,LQD,LQD,SPY,SPY,LQD,IEF,SPY,IEF,IEF,IEF,IEF,IEF,IEF,SPY,SPY,LQD,LQD,LQD,SPY,IEF,SPY
2011-06,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,EFA,EFA,EEM,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2011-07,SHY,SPY,SPY,SPY,SPY,SPY,IEF,SPY,SPY,IEF,SPY,SPY,SPY,SPY,SPY,IEF,AGG,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
2011-08,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2011-09,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2011-10,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,LQD,LQD,SPY,EEM,EEM,EEM,SPY,SPY,SPY,SPY,LQD,LQD,IEF,IEF,IEF,IEF,IEF,IEF
2011-11,EEM,EEM,EEM,EEM,EEM,EEM,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2011-12,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,LQD,LQD,LQD,SPY,SPY,SPY,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2012-01,LQD,LQD,IEF,IEF,IEF,LQD,IEF,LQD,LQD,SPY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SPY,SPY,SPY,LQD,LQD
2012-02,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SPY,SPY,SPY,EEM,SPY,SPY,SPY,SPY,SPY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2012-03,SPY,SPY,SPY,LQD,LQD,SPY,SPY,SPY,SPY,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,SPY,SPY,SPY,LQD,LQD,LQD,LQD,LQD,LQD,LQD,SPY,LQD
2012-04,SPY,SHY,LQD,SPY,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2012-05,IEF,IEF,IEF,IEF,IEF,LQD,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2012-06,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,SPY,SPY,LQD,EFA,LQD,LQD,LQD,LQD,SPY,LQD,SPY,SPY,SPY,IEF,IEF,IEF,IEF,IEF
2012-07,EFA,EFA,SPY,SPY,SPY,EFA,EFA,LQD,SPY,LQD,LQD,LQD,LQD,LQD,LQD,LQD,SPY,SPY,SPY,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,SPY,LQD,EFA
2012-08,LQD,LQD,LQD,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SHY,SHY,LQD,LQD,LQD,LQD,LQD,SPY,EFA,EFA,EFA,EFA,SPY,LQD,SPY,LQD,SPY,SPY,SPY
2012-09,LQD,LQD,LQD,SPY,LQD,SPY,SPY,SPY,EFA,EFA,EFA,EFA,SPY,SPY,SPY,EEM,EEM,EEM,SPY,EEM,SPY,SPY,EFA,SPY,EFA,EFA,SPY,EFA,SPY,LQD
2012-10,EEM,EEM,EEM,SPY,EEM,SPY,SPY,LQD,LQD,LQD,LQD,SPY,SPY,SPY,EFA,LQD,LQD,EEM,LQD,LQD,EFA,AGG,SPY,SPY,SPY,LQD,LQD,SPY,SPY,EEM
2012-11,EFA,LQD,LQD,EFA,LQD,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,EFA,EFA,EFA,EFA,EFA,EFA,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2012-12,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,LQD,LQD,EFA,EFA,EEM,EEM,EEM,EFA,EFA,EFA,EFA,EFA,LQD,EFA,EFA,EFA,EFA,EFA,EFA
2013-01,EEM,LQD,LQD,LQD,LQD,LQD,LQD,EFA,EFA,EFA,EFA,EFA,EFA,EFA,SPY,SHY,SHY,SHY,SHY,LQD,EFA,SPY,EFA,EFA,EFA,EFA,EFA,EFA,LQD,LQD
2013-02,SHY,SHY,SHY,SHY,SHY,SPY,SHY,SHY,SHY,SHY,SHY,LQD,LQD,LQD,LQD,LQD,SPY,LQD,IEF,LQD,LQD,SHY,SHY,SHY,LQD,SHY,SHY,SHY,SHY,SHY
2013-03,LQD,LQD,SPY,SPY,SPY,LQD,SPY,LQD,LQD,LQD,LQD,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,LQD,LQD,LQD,LQD,SPY,LQD
2013-04,IEF,IEF,IEF,IEF,IEF,IEF,IEF,LQD,LQD,LQD,IEF,LQD,LQD,LQD,LQD,EFA,EFA,LQD,EFA,EFA,EFA,LQD,LQD,LQD,IEF,IEF,IEF,LQD,LQD,LQD
2013-05,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,LQD,SHY,SHY,LQD,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,LQD,SHY,SHY,EFA,EFA
2013-06,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2013-07,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,LQD,EFA,LQD,LQD,SPY,SPY,EFA,EFA,EFA,LQD,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2013-08,SHY,SHY,SHY,EFA,EFA,EFA,EFA,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2013-09,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,EEM,EEM,EEM,EEM,EFA,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SHY,SHY,SHY,SHY,SHY
2013-10,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,SPY,SPY,SPY,SPY,SPY,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA
2013-11,SPY,SPY,LQD,LQD,LQD,SHY,SHY,SHY,SHY,LQD,LQD,SPY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2013-12,SHY,SHY,SHY,SHY,SHY,LQD,SPY,SPY,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,SPY,SPY
2014-01,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,IEF,IEF,IEF,IEF,IEF,IEF,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD
2014-02,IEF,IEF,IEF,IEF,IEF,IEF,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,SPY,EFA,SPY,SPY,SPY,EFA,SPY,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD
2014-03,SPY,SPY,SPY,SPY,SPY,SPY,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,SPY,SPY,SPY,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD
2014-04,LQD,LQD,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EFA,SPY,SPY,EFA,EFA,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2014-05,LQD,EFA,EFA,EFA,SPY,LQD,LQD,SPY,SPY,SPY,EFA,EEM,SPY,EEM,EEM,SPY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SPY,EEM,EFA,SPY,SPY,SPY,LQD
2014-06,SPY,SPY,SPY,SPY,SPY,SPY,EEM,EEM,EEM,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,EEM,EEM,EEM
2014-07,SPY,SPY,EEM,EEM,EEM,EEM,SPY,SPY,SPY,SPY,EEM,SPY,EEM,LQD,EEM,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SPY,SPY,SPY,SPY,SPY
2014-08,LQD,LQD,LQD,LQD,IEF,IEF,LQD,LQD,LQD,IEF,IEF,EEM,LQD,LQD,LQD,SPY,LQD,EEM,LQD,LQD,LQD,LQD,LQD,LQD,LQD,LQD,IEF,LQD,LQD,LQD
2014-09,SPY,SPY,EEM,EEM,SPY,SPY,SPY,SPY,LQD,LQD,SHY,SHY,SHY,LQD,LQD,SHY,SHY,SHY,SHY,SHY,LQD,LQD,LQD,SHY,SHY,SHY,LQD,LQD,SPY,SPY
2014-10,IEF,IEF,LQD,LQD,IEF,LQD,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2014-11,IEF,IEF,IEF,IEF,IEF,IEF,IEF,SPY,SPY,SPY,SHY,SPY,SHY,SPY,SPY,IEF,SPY,SPY,SPY,SPY,IEF,SPY,SPY,IEF,SPY,SPY,LQD,SHY,SPY,SPY
2014-12,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,LQD,IEF,IEF,IEF,IEF,LQD,LQD,LQD,LQD,IEF,LQD,IEF,IEF,IEF,IEF,IEF,IEF
2015-01,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,EEM,EEM,EEM,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,LQD,IEF,IEF
2015-02,AGG,EFA,EFA,EFA,EFA,EFA,EFA,LQD,SPY,LQD,LQD,LQD,LQD,LQD,LQD,SHY,LQD,SPY,SPY,LQD,LQD,LQD,SPY,LQD,SPY,SPY,LQD,LQD,EFA,EFA
2015-03,SHY,SHY,SHY,SHY,SHY,SHY,LQD,LQD,LQD,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,LQD,LQD,LQD
2015-04,IEF,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2015-05,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,IEF,IEF,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2015-06,IEF,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,IEF,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2015-07,SHY,SHY,IEF,IEF,IEF,IEF,IEF,IEF,SHY,IEF,SHY,SHY,SHY,SHY,SHY,IEF,IEF,IEF,IEF,IEF,IEF,IEF,SHY,SHY,SHY,SHY,SHY,IEF,SHY,IEF
2015-08,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF
2015-09,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,IEF,SHY,IEF,IEF,SHY,LQD,IEF,IEF,IEF,IEF,LQD,LQD,LQD,SHY,IEF,IEF,SHY,IEF,IEF,IEF,IEF
2015-10,IEF,IEF,IEF,EEM,EEM,EEM,EEM,EEM,SPY,AGG,SPY,SPY,SPY,SPY,EFA,SPY,LQD,SPY,SPY,EFA,EEM,EFA,SPY,SPY,SPY,SPY,EEM,EEM,SPY,EEM
2015-11,LQD,SHY,LQD,LQD,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,LQD,LQD,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
