YearMonth,front_1_select,front_2_select,front_3_select,front_4_select,front_5_select,front_6_select,front_7_select,front_8_select,front_9_select,front_10_select,front_11_select,front_12_select,front_13_select,front_14_select,front_15_select,back_1_select,back_2_select,back_3_select,back_4_select,back_5_select,back_6_select,back_7_select,back_8_select,back_9_select,back_10_select,back_11_select,back_12_select,back_13_select,back_14_select,back_15_select
2020-09,SPY,SPY,SPY,SHY,IEF,SPY,SPY,SPY,SPY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,LQD,SPY,IEF,IEF,LQD,EEM,EEM,EEM,EEM,SPY,EEM,SPY,SPY,SPY
2020-10,EEM,LQD,EEM,EEM,EEM,EEM,EEM,SPY,SPY,SPY,SPY,SPY,SPY,SPY,EEM,LQD,LQD,LQD,EEM,EEM,EEM,LQD,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
2020-11,LQD,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2020-12,EFA,EFA,EFA,EFA,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SPY,SPY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM,EEM
2021-01,EEM,EEM,EEM,EEM,EEM,SHY,EEM,EEM,SHY,LQD,EEM,EEM,SHY,SHY,EEM,SHY,SHY,SHY,SHY,EEM,SHY,SHY,EEM,EEM,SHY,SHY,EEM,SHY,SHY,SHY
2021-02,SHY,SHY,EEM,EEM,EEM,EEM,EEM,EEM,EEM,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,EEM,EEM,EEM,EEM,EEM
2021-03,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY,SHY
2021-04,SHY,SHY,LQD,LQD,LQD,SPY,LQD,LQD,LQD,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,LQD
2021-05,SPY,SPY,SPY,SPY,EFA,EFA,LQD,SHY,SHY,SHY,LQD,SHY,SHY,SHY,SHY,LQD,EFA,EFA,EFA,SHY,SHY,SHY,SHY,SHY,LQD,LQD,SHY,SHY,SHY,EFA
2021-06,LQD,LQD,SHY,EEM,LQD,EEM,EFA,EEM,EEM,EEM,EEM,SPY,SPY,EEM,EEM,SPY,SPY,SPY,SPY,EEM,SPY,SPY,SPY,SPY,EEM,EFA,EEM,EEM,EFA,EEM
