Date,SPY,EFA,EEM,AGG,LQD,IEF,SHY
2003-09-29,100.930000305176,39.5,15.1511106491089,102.169998168945,111.550003051758,85.7600021362305,82.5599975585938
2003-09-30,99.9499969482422,39,15.1033334732056,102.699996948242,112.290000915527,86.5899963378906,82.7300033569336
2003-10-01,102.080001831055,40.2799987792969,15.5,102.650001525879,111.879997253418,86.2399978637695,82.6500015258789
2003-10-02,102.449996948242,40.216667175293,15.722222328186,102.48999786377,111.449996948242,85.9300003051758,82.6500015258789
2003-10-03,103.389999389648,40.8033332824707,15.8777780532837,101.75,109.900001525879,84.7399978637695,82.4400024414062
2003-10-06,103.860000610352,41.2299995422363,15.9388885498047,101.900001525879,110.01000213623,84.9899978637695,82.5
2003-10-07,104.26000213623,41.1666679382324,15.9222221374512,101.550003051758,109.639999389648,84.5,82.4199981689453
2003-10-08,104,40.9966659545898,16.0411109924316,101.800003051758,110.040000915527,84.6500015258789,82.4199981689453
2003-10-09,104.279998779297,41.2799987792969,16.3111114501953,101.440002441406,109.660003662109,84.379997253418,82.4100036621094
2003-10-10,104.569999694824,41.4533348083496,16.5111103057861,102,110.199996948242,84.629997253418,82.4599990844727
2003-10-13,104.900001525879,41.8633346557617,16.7611103057861,101.550003051758,110.129997253418,84.5,82.4700012207031
2003-10-14,105.269996643066,42.0833320617676,16.4411106109619,101.349998474121,109.680000305176,84.1600036621094,82.3899993896484
2003-10-15,104.98999786377,41.6833343505859,16.6399993896484,101.099998474121,109.690002441406,83.8600006103516,82.2900009155273
2003-10-16,105.410003662109,41.9333343505859,16.635555267334,100.830001831055,109.339996337891,83.4000015258789,82.0999984741211
2003-10-17,104.26000213623,41.716667175293,16.53444480896,101.309997558594,109.940002441406,83.8499984741211,82.1999969482422
2003-10-20,105.040000915527,42.1633338928223,16.6266670227051,101.25,110.040000915527,83.9100036621094,82.2099990844727
2003-10-21,104.860000610352,42.0200004577637,16.7099990844727,101.449996948242,110.080001831055,84.0599975585938,82.2300033569336
2003-10-22,103.540000915527,41.6100006103516,16.4644432067871,101.900001525879,110.400001525879,84.6699981689453,82.3199996948242
2003-10-23,103.349998474121,41.0833320617676,16.2222213745117,101.650001525879,109.800003051758,84.4000015258789,82.3000030517578
2003-10-24,103.580001831055,41.1633338928223,16.1366672515869,102.150001525879,110.599998474121,84.9899978637695,82.4000015258789
2003-10-27,103.629997253418,41.3466682434082,16.3222217559814,101.949996948242,110.349998474121,84.7600021362305,82.3099975585938
2003-10-28,105.040000915527,41.8333320617676,16.5455551147461,102.349998474121,111.080001831055,85.1600036621094,82.4499969482422
2003-10-29,105.180000305176,41.783332824707,16.6833324432373,101.900001525879,110.300003051758,84.6100006103516,82.3600006103516
2003-10-30,105.400001525879,41.8300018310547,16.6233329772949,101.900001525879,110.150001525879,84.3000030517578,82.2900009155273
2003-10-31,105.300003051758,41.533332824707,16.4899997711182,101.73999786377,110.150001525879,84.5999984741211,82.3000030517578
2003-11-03,105.98999786377,41.7433319091797,16.8833332061768,101.199996948242,109.779998779297,84,82.1399993896484
2003-11-04,105.76000213623,41.973331451416,16.9300003051758,101.400001525879,109.949996948242,84.3000030517578,82.1999969482422
2003-11-05,105.839996337891,41.7333335876465,16.9522228240967,101.400001525879,109.180000305176,84,82.120002746582
2003-11-06,106.400001525879,41.3666687011719,16.831111907959,100.849998474121,108.580001831055,83.5699996948242,82.0299987792969
2003-11-07,105.610000610352,41.75,16.8488883972168,100.900001525879,108.790000915527,83.4300003051758,81.9599990844727
2003-11-10,105.180000305176,41.4033317565918,16.6166667938232,101.089996337891,108.470001220703,83.4000015258789,81.9800033569336
2003-11-11,105.150001525879,41.2466659545898,16.4033336639404,100.910003662109,108.940002441406,83.5299987792969,81.9800033569336
2003-11-12,106.330001831055,42.1066665649414,16.695556640625,101.099998474121,109,83.8000030517578,82.0299987792969
2003-11-13,106.360000610352,42.3466682434082,16.8244438171387,101.839996337891,110.029998779297,84.5299987792969,82.2099990844727
2003-11-14,105.459999084473,42.060001373291,16.7388896942139,101.919998168945,110.629997253418,84.9899978637695,82.3099975585938
2003-11-17,104.930000305176,41.3366661071777,16.4122219085693,102.349998474121,110.839996337891,85.0899963378906,82.3600006103516
2003-11-18,103.839996337891,41.5,16.4444446563721,102.300003051758,111.330001831055,85.4400024414062,82.370002746582
2003-11-19,104.720001220703,41.5999984741211,16.3377780914307,101.819999694824,110.349998474121,84.8600006103516,82.2200012207031
2003-11-20,103.779998779297,41.3333320617676,16.1266670227051,102.169998168945,110.879997253418,85.3899993896484,82.379997253418
2003-11-21,104.209999084473,41.7799987792969,16.2666664123535,102.279998779297,111.25,85.3499984741211,82.3499984741211
2003-11-24,105.589996337891,42.093334197998,16.4433326721191,101.849998474121,110.5,84.9000015258789,82.2399978637695
2003-11-25,105.98999786377,42.1599998474121,16.5,102.25,110.849998474121,85.1100006103516,82.3300018310547
2003-11-26,106.370002746582,42.5166664123535,16.6511116027832,101.879997253418,110.610000610352,84.9000015258789,82.2399978637695
2003-11-28,106.449996948242,42.5833320617676,16.7999992370605,101.720001220703,110.059997558594,84.3399963378906,82.1399993896484
2003-12-01,107.599998474121,43.4266662597656,17.2811107635498,101.169998168945,109.389999389648,83.5999984741211,81.9199981689453
2003-12-02,107.330001831055,43.5299987792969,17.2044448852539,101.139999389648,109.690002441406,83.8399963378906,82.0100021362305
2003-12-03,107.160003662109,43.6166687011719,17.1444435119629,101.23999786377,109.5,83.620002746582,81.9400024414062
