Params,Name,Value1,Value2
"(0, 10, 0, 10)",back_5,9.97,0.13
"(0, 10, 0, 30)",front_9,9.35,0.13
"(0, 10, 0, 20)",front_9,9.32,0.13
"(0, 10, 0, 40)",front_9,10.02,0.13
"(0, 10, 0, 50)",front_9,9.52,0.13
"(0, 10, 0, 60)",front_9,9.19,0.13
"(0, 10, 0, 70)",front_9,7.79,0.12
"(0, 10, 0, 80)",front_9,8.03,0.12
"(0, 10, 0, 90)",front_9,8.03,0.12
"(0, 10, 0, 100)",front_9,8.03,0.12
"(0, 10, 10, 0)",back_2,7.51,0.12
"(0, 10, 10, 10)",back_3,7.67,0.12
"(0, 10, 10, 30)",front_4,8.63,0.13
"(0, 10, 10, 20)",front_2,8.32,0.12
"(0, 10, 10, 40)",front_9,7.82,0.12
"(0, 10, 10, 50)",front_9,8.26,0.13
"(0, 10, 10, 60)",front_9,7.91,0.12
"(0, 10, 10, 70)",front_9,8.02,0.12
"(0, 10, 10, 80)",front_9,8.02,0.12
"(0, 10, 10, 90)",front_9,8.02,0.12
"(0, 10, 10, 100)",front_9,8.01,0.12
"(0, 10, 20, 0)",back_15,6.11,0.11
"(0, 10, 20, 10)",front_10,7.58,0.12
"(0, 10, 20, 20)",back_9,7.83,0.12
"(0, 10, 20, 30)",back_3,7.4,0.12
"(0, 10, 20, 40)",front_4,7.49,0.12
"(0, 10, 20, 50)",front_4,8.88,0.13
"(0, 10, 20, 60)",front_4,8.83,0.13
"(0, 10, 20, 70)",front_4,7.95,0.12
"(0, 10, 20, 80)",front_4,7.26,0.12
"(0, 10, 20, 90)",front_4,7.38,0.12
"(0, 10, 20, 100)",front_4,7.04,0.12
"(0, 10, 30, 0)",back_10,5.6,0.11
"(0, 10, 30, 10)",front_10,6.87,0.12
"(0, 10, 30, 20)",back_3,6.87,0.12
"(0, 10, 30, 30)",back_3,6.98,0.12
"(0, 10, 30, 40)",front_4,7.27,0.12
"(0, 10, 30, 50)",front_4,7.69,0.12
"(0, 10, 30, 60)",front_4,7.9,0.12
"(0, 10, 30, 70)",front_4,8.77,0.13
"(0, 10, 30, 80)",front_4,8.88,0.13
"(0, 10, 30, 90)",front_4,8.72,0.13
"(0, 10, 30, 100)",front_4,8.42,0.12
"(0, 10, 40, 0)",back_10,5.93,0.11
"(0, 10, 40, 10)",back_3,6.38,0.11
"(0, 10, 40, 20)",back_6,6.41,0.11
"(0, 10, 40, 30)",back_3,6.35,0.11
"(0, 10, 40, 50)",back_9,6.3,0.11
"(0, 10, 40, 40)",front_7,6.33,0.11
"(0, 10, 40, 60)",front_4,6.14,0.11
"(0, 10, 40, 70)",front_4,7.06,0.12
"(0, 10, 40, 80)",front_4,6.26,0.11
"(0, 10, 40, 90)",front_9,7.09,0.12
"(0, 10, 40, 100)",front_9,7.08,0.12
"(0, 10, 50, 10)",back_3,5.93,0.11
"(0, 10, 50, 0)",back_10,6.34,0.11
"(0, 10, 50, 20)",front_10,6.95,0.12
"(0, 10, 50, 30)",front_10,7.18,0.12
"(0, 10, 50, 40)",front_10,6.51,0.11
"(0, 10, 50, 50)",front_7,6.34,0.11
"(0, 10, 50, 60)",back_3,6.42,0.11
"(0, 10, 50, 70)",front_4,6.46,0.11
"(0, 10, 50, 80)",front_4,6.38,0.11
"(0, 10, 50, 90)",front_4,6.93,0.12
"(0, 10, 50, 100)",front_4,6.35,0.11
"(0, 10, 60, 0)",front_10,5.95,0.11
"(0, 10, 60, 10)",back_3,5.93,0.11
"(0, 10, 60, 20)",front_10,7.22,0.12
"(0, 10, 60, 30)",front_10,6.35,0.11
"(0, 10, 60, 40)",front_10,6.48,0.11
"(0, 10, 60, 50)",front_10,6.07,0.11
"(0, 10, 60, 60)",back_3,6.13,0.11
"(0, 10, 60, 70)",back_3,6.36,0.11
"(0, 10, 60, 80)",front_4,6.46,0.11
"(0, 10, 60, 90)",front_4,6.05,0.11
"(0, 10, 60, 100)",front_4,6.74,0.11
"(0, 10, 70, 0)",front_10,5.95,0.11
"(0, 10, 70, 10)",back_3,6.16,0.11
"(0, 10, 70, 20)",back_8,6.92,0.12
"(0, 10, 70, 30)",front_10,7.0,0.12
"(0, 10, 70, 40)",front_10,7.13,0.12
"(0, 10, 70, 50)",front_10,6.41,0.11
"(0, 10, 70, 60)",front_10,6.14,0.11
"(0, 10, 70, 70)",back_3,6.13,0.11
"(0, 10, 70, 80)",back_3,6.07,0.11
"(0, 10, 70, 90)",back_3,6.15,0.11
