Params,Name,Value1,Value2
"(30, 0, 30, 30)",back_10,7.45,0.12
"(30, 0, 30, 40)",front_4,6.9,0.11
"(30, 0, 30, 50)",front_3,6.9,0.11
"(30, 0, 30, 60)",front_1,6.45,0.11
"(30, 0, 30, 70)",front_3,6.68,0.11
"(30, 0, 30, 80)",front_4,7.26,0.12
"(30, 0, 30, 90)",front_4,6.85,0.11
"(30, 0, 30, 100)",front_4,6.56,0.11
"(30, 0, 40, 0)",front_13,5.9,0.11
"(30, 0, 40, 10)",front_10,6.37,0.11
"(30, 0, 40, 20)",front_10,8.54,0.13
"(30, 0, 40, 30)",front_10,7.37,0.12
"(30, 0, 40, 40)",front_10,6.74,0.11
"(30, 0, 40, 50)",back_9,6.41,0.11
"(30, 0, 40, 60)",front_3,7.21,0.12
"(30, 0, 40, 70)",front_3,7.53,0.12
"(30, 0, 40, 80)",front_3,7.31,0.12
"(30, 0, 40, 90)",front_4,7.08,0.12
"(30, 0, 40, 100)",front_4,7.08,0.12
"(30, 0, 50, 0)",back_8,5.58,0.11
"(30, 0, 50, 10)",front_10,6.55,0.11
"(30, 0, 50, 20)",front_10,8.83,0.13
"(30, 0, 50, 30)",front_10,7.65,0.12
"(30, 0, 50, 40)",front_13,7.04,0.12
"(30, 0, 50, 50)",front_10,6.63,0.11
"(30, 0, 50, 60)",back_3,6.73,0.12
"(30, 0, 50, 70)",front_3,6.11,0.11
"(30, 0, 50, 80)",front_1,5.78,0.11
"(30, 0, 50, 90)",front_3,5.85,0.11
"(30, 0, 50, 100)",front_3,6.07,0.11
"(30, 0, 60, 0)",back_13,5.69,0.11
"(30, 0, 60, 10)",front_10,6.67,0.11
"(30, 0, 60, 20)",front_10,8.09,0.12
"(30, 0, 60, 30)",front_10,8.29,0.12
"(30, 0, 60, 40)",back_9,6.96,0.12
"(30, 0, 60, 50)",front_13,6.59,0.12
"(30, 0, 60, 60)",front_10,6.23,0.11
"(30, 0, 60, 70)",back_3,6.21,0.11
"(30, 0, 60, 80)",front_7,5.58,0.11
"(30, 0, 60, 90)",front_13,6.01,0.11
"(30, 0, 60, 100)",front_4,6.06,0.11
"(30, 0, 70, 0)",front_10,5.77,0.11
"(30, 0, 70, 10)",front_10,6.56,0.11
"(30, 0, 70, 20)",front_10,6.75,0.11
"(30, 0, 70, 30)",front_10,8.55,0.13
"(30, 0, 70, 40)",front_10,6.92,0.12
"(30, 0, 70, 50)",front_13,6.73,0.12
"(30, 0, 70, 60)",back_9,6.14,0.11
"(30, 0, 70, 70)",front_10,5.73,0.11
"(30, 0, 70, 80)",back_3,6.34,0.11
"(30, 0, 70, 90)",back_3,6.14,0.11
"(30, 0, 70, 100)",front_10,5.87,0.11
"(30, 0, 80, 0)",front_10,5.82,0.11
"(30, 0, 80, 10)",front_10,6.33,0.11
"(30, 0, 80, 20)",back_8,6.33,0.11
"(30, 0, 80, 30)",front_10,7.93,0.12
"(30, 0, 80, 40)",front_10,7.44,0.12
"(30, 0, 80, 50)",front_10,6.77,0.12
"(30, 0, 80, 60)",front_13,6.97,0.12
"(30, 0, 80, 70)",back_9,6.19,0.11
"(30, 0, 80, 80)",front_7,5.84,0.11
"(30, 0, 80, 90)",back_3,6.23,0.11
"(30, 0, 80, 100)",back_3,6.11,0.11
"(30, 0, 90, 0)",front_10,5.64,0.11
"(30, 0, 90, 10)",front_11,6.38,0.11
"(30, 0, 90, 20)",back_8,6.63,0.12
"(30, 0, 90, 30)",front_10,7.17,0.12
"(30, 0, 90, 40)",front_10,8.53,0.13
"(30, 0, 90, 50)",front_10,6.77,0.12
"(30, 0, 90, 60)",front_10,7.03,0.12
"(30, 0, 90, 80)",back_9,5.98,0.11
"(30, 0, 90, 70)",front_13,7.16,0.12
"(30, 0, 90, 90)",front_7,5.84,0.11
"(30, 0, 90, 100)",back_3,6.24,0.11
"(30, 0, 100, 0)",front_10,5.71,0.11
"(30, 0, 100, 10)",front_10,6.18,0.11
"(30, 0, 100, 20)",back_8,6.5,0.12
"(30, 0, 100, 40)",front_10,8.8,0.13
"(30, 0, 100, 30)",front_10,7.55,0.12
"(30, 0, 100, 50)",back_8,7.21,0.12
"(30, 0, 100, 60)",front_10,7.06,0.12
"(30, 0, 100, 70)",front_10,7.31,0.12
"(30, 0, 100, 80)",front_13,6.74,0.12
"(30, 0, 100, 90)",back_9,5.98,0.11
"(30, 0, 100, 100)",front_13,6.08,0.11
"(30, 10, 0, 0)",front_7,6.34,0.11
"(30, 10, 0, 10)",front_2,9.7,0.13
"(30, 10, 0, 20)",front_7,7.97,0.12
"(30, 10, 0, 30)",front_9,7.84,0.12
"(30, 10, 0, 40)",front_1,8.49,0.12
"(30, 10, 0, 50)",front_9,8.64,0.13
"(30, 10, 0, 60)",front_9,8.2,0.12
"(30, 10, 0, 70)",front_9,9.52,0.13
"(30, 10, 0, 80)",front_9,9.29,0.13
"(30, 10, 0, 90)",front_9,9.12,0.13
"(30, 10, 0, 100)",front_9,8.79,0.13
"(30, 10, 10, 0)",back_3,8.39,0.12
"(30, 10, 10, 10)",back_3,8.1,0.12
"(30, 10, 10, 20)",back_6,7.55,0.12
"(30, 10, 10, 30)",back_15,8.29,0.12
"(30, 10, 10, 40)",front_3,7.63,0.12
"(30, 10, 10, 50)",front_10,7.8,0.12
"(30, 10, 10, 60)",front_10,7.99,0.12
"(30, 10, 10, 70)",front_9,8.07,0.12
"(30, 10, 10, 80)",front_9,8.58,0.13
"(30, 10, 10, 90)",front_9,9.39,0.13
"(30, 10, 10, 100)",front_9,9.54,0.13
"(30, 10, 20, 0)",back_10,7.54,0.12
"(30, 10, 20, 10)",back_9,7.47,0.12
"(30, 10, 20, 20)",back_6,7.8,0.12
"(30, 10, 20, 30)",back_10,7.83,0.12
"(30, 10, 20, 40)",front_4,7.95,0.12
"(30, 10, 20, 50)",front_3,8.18,0.12
"(30, 10, 20, 60)",front_9,7.4,0.12
"(30, 10, 20, 70)",front_9,7.6,0.12
"(30, 10, 20, 80)",front_3,7.45,0.12
"(30, 10, 20, 90)",front_10,7.3,0.12
"(30, 10, 20, 100)",front_9,7.88,0.12
"(30, 10, 30, 0)",back_2,6.89,0.11
"(30, 10, 30, 10)",front_10,7.2,0.12
"(30, 10, 30, 20)",front_10,8.43,0.13
"(30, 10, 30, 30)",back_10,7.07,0.12
"(30, 10, 30, 40)",front_2,8.23,0.12
"(30, 10, 30, 50)",front_3,8.11,0.12
"(30, 10, 30, 60)",front_3,7.88,0.12
"(30, 10, 30, 70)",front_3,8.27,0.12
"(30, 10, 30, 80)",front_3,9.27,0.13
"(30, 10, 30, 90)",front_3,8.68,0.12
"(30, 10, 30, 100)",front_3,8.45,0.12
"(30, 10, 40, 0)",back_3,6.09,0.11
"(30, 10, 40, 10)",back_10,7.08,0.12
"(30, 10, 40, 20)",back_8,8.58,0.13
"(30, 10, 40, 30)",front_10,7.66,0.12
"(30, 10, 40, 50)",front_3,7.17,0.12
"(30, 10, 40, 40)",back_10,7.67,0.12
"(30, 10, 40, 60)",front_3,7.44,0.12
"(30, 10, 40, 70)",front_3,9.3,0.13
"(30, 10, 40, 80)",front_3,8.43,0.12
"(30, 10, 40, 90)",front_3,9.06,0.13
"(30, 10, 40, 100)",front_4,9.0,0.13
"(30, 10, 50, 0)",front_13,6.29,0.11
"(30, 10, 50, 10)",front_10,6.51,0.11
"(30, 10, 50, 20)",front_10,8.11,0.12
"(30, 10, 50, 30)",front_10,8.79,0.13
"(30, 10, 50, 40)",back_10,7.9,0.12
"(30, 10, 50, 50)",front_10,7.79,0.12
"(30, 10, 50, 60)",back_3,6.63,0.11
"(30, 10, 50, 70)",front_3,6.35,0.11
"(30, 10, 50, 80)",front_3,7.82,0.12
"(30, 10, 50, 90)",front_4,7.29,0.12
"(30, 10, 50, 100)",front_4,7.07,0.12
"(30, 10, 60, 0)",front_13,5.5,0.11
"(30, 10, 60, 10)",back_10,7.45,0.12
"(30, 10, 60, 20)",front_10,7.35,0.12
"(30, 10, 60, 30)",front_10,7.86,0.12
"(30, 10, 60, 40)",back_10,7.36,0.12
"(30, 10, 60, 50)",back_10,7.51,0.12
"(30, 10, 60, 60)",back_9,7.16,0.12
"(30, 10, 60, 70)",back_3,7.38,0.12
"(30, 10, 60, 80)",back_3,6.74,0.11
"(30, 10, 60, 90)",front_4,6.96,0.12
"(30, 10, 60, 100)",front_4,7.15,0.12
"(30, 10, 70, 0)",front_13,5.51,0.11
"(30, 10, 70, 10)",front_11,6.47,0.11
"(30, 10, 70, 20)",front_10,7.41,0.12
"(30, 10, 70, 30)",front_10,8.07,0.12
"(30, 10, 70, 40)",back_8,6.91,0.12
"(30, 10, 70, 50)",back_9,6.98,0.12
"(30, 10, 70, 60)",front_10,6.7,0.11
"(30, 10, 70, 70)",front_10,6.75,0.12
"(30, 10, 70, 80)",back_3,6.76,0.12
"(30, 10, 70, 90)",back_9,6.36,0.11
"(30, 10, 70, 100)",front_4,6.26,0.11
"(30, 10, 80, 0)",front_10,5.77,0.11
"(30, 10, 80, 10)",front_11,5.99,0.11
"(30, 10, 80, 20)",back_8,7.15,0.12
"(30, 10, 80, 30)",front_10,8.71,0.13
"(30, 10, 80, 40)",front_10,7.18,0.12
"(30, 10, 80, 50)",back_9,6.74,0.12
"(30, 10, 80, 60)",back_9,6.46,0.11
"(30, 10, 80, 70)",front_10,6.48,0.11
"(30, 10, 80, 80)",back_9,6.23,0.11
"(30, 10, 80, 90)",back_3,6.43,0.11
"(30, 10, 80, 100)",back_3,6.98,0.12
"(30, 10, 90, 0)",front_10,5.69,0.11
"(30, 10, 90, 10)",front_11,5.87,0.11
"(30, 10, 90, 20)",back_8,6.73,0.12
"(30, 10, 90, 30)",front_10,7.43,0.12
"(30, 10, 90, 40)",front_10,8.4,0.13
"(30, 10, 90, 50)",back_9,7.09,0.12
"(30, 10, 90, 60)",front_10,6.2,0.11
"(30, 10, 90, 70)",front_10,6.51,0.11
"(30, 10, 90, 80)",front_10,6.33,0.11
"(30, 10, 90, 90)",back_9,6.25,0.11
"(30, 10, 90, 100)",back_3,6.58,0.11
"(30, 10, 100, 0)",front_10,5.7,0.11
"(30, 10, 100, 10)",front_10,6.69,0.11
"(30, 10, 100, 20)",back_8,6.79,0.12
"(30, 10, 100, 30)",front_10,7.21,0.12
"(30, 10, 100, 40)",front_10,7.83,0.12
"(30, 10, 100, 50)",front_10,7.49,0.12
"(30, 10, 100, 60)",front_10,7.17,0.12
"(30, 10, 100, 70)",back_9,6.46,0.11
"(30, 10, 100, 80)",front_13,6.42,0.11
"(30, 10, 100, 90)",back_9,6.19,0.11
"(30, 10, 100, 100)",back_3,6.28,0.11
"(30, 20, 0, 0)",back_3,6.88,0.11
"(30, 20, 0, 10)",back_1,9.21,0.13
"(30, 20, 0, 20)",front_7,8.56,0.12
"(30, 20, 0, 30)",front_1,7.5,0.12
"(30, 20, 0, 40)",front_7,7.31,0.12
"(30, 20, 0, 50)",front_1,7.71,0.12
"(30, 20, 0, 60)",back_13,7.72,0.12
"(30, 20, 0, 70)",front_9,8.2,0.12
"(30, 20, 0, 80)",front_9,8.74,0.13
"(30, 20, 0, 90)",front_9,9.61,0.13
"(30, 20, 0, 100)",front_9,9.87,0.13
"(30, 20, 10, 0)",back_3,9.15,0.13
"(30, 20, 10, 10)",front_13,7.89,0.12
"(30, 20, 10, 20)",back_5,8.98,0.13
"(30, 20, 10, 30)",front_7,9.08,0.13
"(30, 20, 10, 40)",back_15,9.91,0.13
"(30, 20, 10, 50)",back_15,8.39,0.12
"(30, 20, 10, 60)",front_10,8.24,0.12
"(30, 20, 10, 70)",front_9,8.64,0.13
"(30, 20, 10, 80)",front_9,8.74,0.13
"(30, 20, 10, 90)",front_9,8.49,0.13
"(30, 20, 10, 100)",front_9,9.2,0.13
"(30, 20, 20, 0)",back_3,5.74,0.1
"(30, 20, 20, 10)",front_13,8.61,0.13
"(30, 20, 20, 20)",front_7,7.57,0.12
"(30, 20, 20, 30)",back_15,8.26,0.12
"(30, 20, 20, 40)",back_15,8.84,0.13
"(30, 20, 20, 50)",front_1,7.47,0.12
"(30, 20, 20, 60)",front_9,7.58,0.12
"(30, 20, 20, 70)",front_9,9.12,0.13
"(30, 20, 20, 80)",front_9,9.07,0.13
"(30, 20, 20, 90)",front_9,8.43,0.13
"(30, 20, 20, 100)",front_9,9.13,0.13
"(30, 20, 30, 0)",back_8,5.17,0.1
"(30, 20, 30, 10)",back_2,7.41,0.12
"(30, 20, 30, 20)",front_10,8.41,0.13
"(30, 20, 30, 30)",front_10,7.34,0.12
"(30, 20, 30, 40)",front_10,8.24,0.12
"(30, 20, 30, 50)",front_4,7.66,0.12
"(30, 20, 30, 60)",front_4,7.86,0.12
"(30, 20, 30, 70)",front_3,8.02,0.12
"(30, 20, 30, 80)",front_4,7.18,0.12
"(30, 20, 30, 90)",front_4,8.36,0.12
"(30, 20, 30, 100)",front_3,8.16,0.12
"(30, 20, 40, 0)",back_2,6.49,0.11
"(30, 20, 40, 10)",back_10,8.43,0.13
"(30, 20, 40, 20)",front_10,8.52,0.13
"(30, 20, 40, 30)",front_10,8.43,0.13
"(30, 20, 40, 40)",front_10,8.44,0.13
"(30, 20, 40, 50)",front_2,7.88,0.12
"(30, 20, 40, 60)",front_4,8.35,0.12
"(30, 20, 40, 70)",front_3,7.62,0.12
"(30, 20, 40, 80)",front_3,9.14,0.13
"(30, 20, 40, 90)",front_3,8.21,0.12
"(30, 20, 40, 100)",front_3,8.95,0.13
"(30, 20, 50, 0)",back_8,5.65,0.11
"(30, 20, 50, 20)",front_11,7.56,0.12
"(30, 20, 50, 10)",back_10,7.81,0.12
"(30, 20, 50, 30)",front_10,8.17,0.12
"(30, 20, 50, 40)",back_8,7.86,0.12
"(30, 20, 50, 50)",front_10,8.22,0.12
"(30, 20, 50, 60)",front_10,8.14,0.12
"(30, 20, 50, 70)",front_3,7.14,0.12
"(30, 20, 50, 80)",front_3,7.71,0.12
"(30, 20, 50, 90)",front_3,8.84,0.13
"(30, 20, 50, 100)",front_3,8.03,0.12
"(30, 20, 60, 0)",front_13,5.85,0.11
"(30, 20, 60, 10)",back_10,7.99,0.12
"(30, 20, 60, 20)",front_10,7.44,0.12
"(30, 20, 60, 30)",front_10,9.25,0.13
"(30, 20, 60, 40)",back_8,7.71,0.12
"(30, 20, 60, 50)",back_10,7.7,0.12
"(30, 20, 60, 60)",back_9,7.88,0.12
"(30, 20, 60, 70)",back_9,7.19,0.12
"(30, 20, 60, 80)",front_3,7.33,0.12
"(30, 20, 60, 90)",front_3,7.21,0.12
"(30, 20, 60, 100)",front_4,7.14,0.12
"(30, 20, 70, 0)",front_13,5.85,0.11
"(30, 20, 70, 10)",front_10,8.05,0.12
"(30, 20, 70, 30)",front_10,8.06,0.12
"(30, 20, 70, 20)",front_11,7.26,0.12
"(30, 20, 70, 40)",front_10,8.32,0.12
"(30, 20, 70, 60)",front_4,7.44,0.12
"(30, 20, 70, 70)",front_10,7.72,0.12
"(30, 20, 70, 50)",back_8,7.84,0.12
"(30, 20, 70, 80)",back_3,7.3,0.12
"(30, 20, 70, 100)",front_4,7.13,0.12
"(30, 20, 70, 90)",back_9,6.54,0.12
"(30, 20, 80, 0)",front_10,5.21,0.1
"(30, 20, 80, 10)",front_10,7.78,0.12
"(30, 20, 80, 30)",front_10,8.13,0.12
"(30, 20, 80, 20)",front_11,7.36,0.12
"(30, 20, 80, 40)",front_10,8.63,0.13
"(30, 20, 80, 50)",front_10,7.46,0.12
"(30, 20, 80, 60)",back_10,7.45,0.12
"(30, 20, 80, 70)",back_3,7.26,0.12
"(30, 20, 80, 90)",back_3,7.56,0.12
"(30, 20, 80, 80)",front_10,7.06,0.12
"(30, 20, 80, 100)",back_3,7.05,0.12
"(30, 20, 90, 0)",front_10,5.28,0.1
"(30, 20, 90, 10)",front_10,7.06,0.12
"(30, 20, 90, 20)",back_8,7.24,0.12
"(30, 20, 90, 30)",front_10,7.96,0.12
"(30, 20, 90, 40)",front_10,7.87,0.12
"(30, 20, 90, 50)",back_8,6.83,0.12
"(30, 20, 90, 60)",back_10,6.86,0.12
"(30, 20, 90, 70)",back_9,6.58,0.12
"(30, 20, 90, 90)",front_10,6.53,0.11
"(30, 20, 90, 80)",back_3,7.32,0.12
"(30, 20, 90, 100)",back_3,6.61,0.11
"(30, 20, 100, 0)",front_10,5.46,0.1
"(30, 20, 100, 10)",front_10,6.72,0.11
"(30, 20, 100, 30)",front_10,6.3,0.11
"(30, 20, 100, 20)",back_8,7.38,0.12
"(30, 20, 100, 40)",front_10,7.43,0.12
"(30, 20, 100, 50)",front_10,7.0,0.12
"(30, 20, 100, 60)",back_8,6.63,0.12
"(30, 20, 100, 70)",front_11,6.73,0.12
"(30, 20, 100, 80)",back_9,6.58,0.12
"(30, 20, 100, 90)",back_9,6.58,0.12
"(30, 20, 100, 100)",front_10,6.54,0.11
"(30, 30, 0, 0)",back_3,9.74,0.13
"(30, 30, 0, 10)",back_1,8.62,0.12
"(30, 30, 0, 20)",back_5,8.73,0.13
"(30, 30, 0, 30)",back_5,9.3,0.13
"(30, 30, 0, 60)",front_9,8.25,0.12
"(30, 30, 0, 50)",front_10,8.09,0.12
"(30, 30, 0, 40)",front_7,8.25,0.12
"(30, 30, 0, 70)",front_9,8.33,0.13
"(30, 30, 0, 80)",front_9,8.13,0.12
"(30, 30, 0, 90)",front_9,8.69,0.13
"(30, 30, 0, 100)",front_9,10.29,0.14
"(30, 30, 10, 10)",front_1,8.22,0.12
"(30, 30, 10, 0)",back_3,8.28,0.12
"(30, 30, 10, 20)",back_5,8.88,0.13
"(30, 30, 10, 30)",back_5,9.17,0.13
"(30, 30, 10, 40)",front_7,8.91,0.13
"(30, 30, 10, 50)",front_7,9.66,0.13
"(30, 30, 10, 60)",back_15,8.59,0.13
"(30, 30, 10, 70)",back_15,10.06,0.13
"(30, 30, 10, 80)",back_15,8.09,0.12
"(30, 30, 10, 90)",front_9,8.71,0.13
"(30, 30, 10, 100)",front_9,9.18,0.13
"(30, 30, 20, 0)",back_3,6.8,0.11
"(30, 30, 20, 10)",back_5,7.62,0.12
"(30, 30, 20, 20)",back_6,6.67,0.11
"(30, 30, 20, 40)",front_7,8.86,0.13
"(30, 30, 20, 30)",front_7,7.61,0.12
"(30, 30, 20, 50)",back_15,8.86,0.13
"(30, 30, 20, 60)",back_15,9.09,0.13
"(30, 30, 20, 70)",back_15,10.89,0.14
"(30, 30, 20, 80)",front_9,8.29,0.13
"(30, 30, 20, 90)",front_9,8.59,0.13
"(30, 30, 20, 100)",front_9,8.31,0.13
"(30, 30, 30, 0)",back_3,6.07,0.11
"(30, 30, 30, 10)",back_2,8.04,0.12
"(30, 30, 30, 20)",front_12,8.26,0.12
"(30, 30, 30, 30)",front_10,7.66,0.12
"(30, 30, 30, 40)",front_10,7.63,0.12
"(30, 30, 30, 50)",back_15,8.39,0.12
"(30, 30, 30, 60)",front_3,8.61,0.12
"(30, 30, 30, 80)",front_3,7.76,0.12
"(30, 30, 30, 70)",front_8,8.24,0.12
"(30, 30, 30, 90)",back_6,7.68,0.12
"(30, 30, 30, 100)",front_9,8.62,0.13
"(30, 30, 40, 0)",back_3,5.62,0.1
"(30, 30, 40, 10)",back_10,7.74,0.12
"(30, 30, 40, 20)",back_6,8.3,0.13
"(30, 30, 40, 30)",front_10,7.61,0.12
"(30, 30, 40, 40)",front_10,8.59,0.13
"(30, 30, 40, 50)",back_15,8.44,0.12
"(30, 30, 40, 60)",front_2,8.28,0.12
"(30, 30, 40, 70)",front_1,7.55,0.12
"(30, 30, 40, 80)",front_3,8.05,0.12
"(30, 30, 40, 90)",front_3,8.53,0.12
"(30, 30, 50, 0)",back_2,6.17,0.11
"(30, 30, 40, 100)",front_3,8.11,0.12
"(30, 30, 50, 20)",back_6,8.78,0.13
"(30, 30, 50, 10)",back_10,8.12,0.13
"(30, 30, 50, 30)",back_10,8.37,0.13
"(30, 30, 50, 40)",front_10,7.52,0.12
"(30, 30, 50, 50)",front_10,8.39,0.13
"(30, 30, 50, 60)",front_10,8.52,0.13
"(30, 30, 50, 70)",back_9,8.01,0.13
"(30, 30, 50, 80)",front_2,7.47,0.12
"(30, 30, 50, 90)",front_3,8.53,0.12
"(30, 30, 50, 100)",front_3,8.92,0.13
"(30, 30, 60, 10)",back_10,8.15,0.13
"(30, 30, 60, 0)",front_12,5.28,0.1
"(30, 30, 60, 20)",front_11,8.5,0.13
"(30, 30, 60, 30)",front_10,8.64,0.13
"(30, 30, 60, 50)",back_8,7.89,0.13
"(30, 30, 60, 40)",front_10,7.61,0.12
"(30, 30, 60, 60)",front_13,7.64,0.12
"(30, 30, 60, 70)",front_4,7.69,0.12
"(30, 30, 60, 80)",back_9,7.6,0.12
"(30, 30, 60, 90)",front_3,8.05,0.12
"(30, 30, 60, 100)",front_3,7.48,0.12
"(30, 30, 70, 10)",back_10,8.24,0.13
"(30, 30, 70, 0)",front_12,5.34,0.1
"(30, 30, 70, 20)",front_11,7.75,0.12
"(30, 30, 70, 30)",front_10,8.35,0.12
"(30, 30, 70, 40)",front_10,8.15,0.12
"(30, 30, 70, 50)",back_8,7.5,0.12
"(30, 30, 70, 60)",back_8,7.56,0.12
"(30, 30, 70, 70)",front_10,7.87,0.12
"(30, 30, 70, 80)",front_10,8.02,0.12
"(30, 30, 70, 90)",back_9,7.39,0.12
"(30, 30, 70, 100)",front_10,7.07,0.12
"(30, 30, 80, 0)",back_8,5.79,0.11
"(30, 30, 80, 10)",front_10,7.82,0.12
"(30, 30, 80, 20)",front_11,7.54,0.12
"(30, 30, 80, 30)",front_10,7.33,0.12
"(30, 30, 80, 40)",front_10,8.95,0.13
"(30, 30, 80, 50)",front_10,8.17,0.12
"(30, 30, 80, 60)",back_8,8.05,0.13
"(30, 30, 80, 70)",back_9,7.48,0.12
"(30, 30, 80, 80)",front_3,7.72,0.12
"(30, 30, 80, 90)",front_10,7.52,0.12
"(30, 30, 80, 100)",back_9,7.53,0.12
"(30, 30, 90, 0)",back_9,6.33,0.11
"(30, 30, 90, 10)",front_10,7.43,0.12
"(30, 30, 90, 20)",front_11,7.23,0.12
"(30, 30, 90, 30)",front_11,7.13,0.12
"(30, 30, 90, 40)",front_10,8.27,0.12
"(30, 30, 90, 50)",front_10,8.03,0.12
"(30, 30, 90, 60)",back_8,7.29,0.12
"(30, 30, 90, 70)",back_8,7.22,0.12
"(30, 30, 90, 80)",back_3,7.24,0.12
"(30, 30, 90, 90)",back_9,7.4,0.12
"(30, 30, 90, 100)",back_9,7.34,0.12
"(30, 30, 100, 0)",back_9,6.23,0.11
"(30, 30, 100, 10)",front_10,7.32,0.12
"(30, 30, 100, 20)",back_10,8.08,0.13
"(30, 30, 100, 30)",front_11,7.25,0.12
"(30, 30, 100, 40)",front_10,8.62,0.13
"(30, 30, 100, 50)",front_10,7.29,0.12
"(30, 30, 100, 60)",front_10,7.24,0.12
"(30, 30, 100, 70)",back_8,7.0,0.12
"(30, 30, 100, 80)",back_10,7.09,0.12
"(30, 30, 100, 100)",front_10,7.07,0.12
"(30, 30, 100, 90)",back_3,7.24,0.12
"(30, 40, 0, 0)",back_4,8.49,0.12
"(30, 40, 0, 10)",back_3,9.97,0.13
"(30, 40, 0, 20)",back_1,8.73,0.12
"(30, 40, 0, 30)",back_5,10.19,0.13
"(30, 40, 0, 40)",back_5,9.95,0.13
"(30, 40, 0, 50)",front_7,8.64,0.12
"(30, 40, 0, 60)",front_9,8.16,0.12
"(30, 40, 0, 70)",front_9,8.18,0.12
"(30, 40, 0, 80)",front_9,8.67,0.13
"(30, 40, 0, 90)",front_9,8.41,0.13
"(30, 40, 0, 100)",front_9,8.62,0.13
"(30, 40, 10, 0)",back_4,8.6,0.12
"(30, 40, 10, 10)",back_3,8.42,0.12
"(30, 40, 10, 20)",back_5,8.53,0.13
"(30, 40, 10, 30)",back_5,8.35,0.12
"(30, 40, 10, 40)",back_5,9.68,0.13
"(30, 40, 10, 60)",front_7,10.28,0.13
"(30, 40, 10, 50)",back_5,8.82,0.13
"(30, 40, 10, 70)",back_15,10.06,0.13
"(30, 40, 10, 80)",back_15,9.67,0.13
"(30, 40, 10, 90)",back_15,9.38,0.13
"(30, 40, 10, 100)",front_9,8.0,0.12
"(30, 40, 20, 0)",front_15,7.69,0.12
"(30, 40, 20, 10)",front_2,7.87,0.12
"(30, 40, 20, 20)",back_3,7.36,0.12
"(30, 40, 20, 30)",back_3,7.5,0.12
"(30, 40, 20, 40)",front_7,7.44,0.12
"(30, 40, 20, 50)",front_7,8.96,0.13
"(30, 40, 20, 60)",front_7,9.0,0.13
"(30, 40, 20, 70)",back_15,10.63,0.14
"(30, 40, 20, 80)",back_15,10.61,0.14
"(30, 40, 20, 90)",back_15,10.3,0.13
"(30, 40, 20, 100)",back_15,9.81,0.13
"(30, 40, 30, 10)",back_3,7.38,0.12
"(30, 40, 30, 0)",back_3,6.96,0.11
"(30, 40, 30, 20)",back_6,7.7,0.12
"(30, 40, 30, 30)",front_7,7.11,0.12
"(30, 40, 30, 40)",back_3,8.48,0.13
"(30, 40, 30, 50)",back_3,8.52,0.13
"(30, 40, 30, 60)",back_15,8.62,0.13
"(30, 40, 30, 70)",back_15,8.79,0.13
"(30, 40, 30, 80)",back_15,9.25,0.13
"(30, 40, 30, 90)",back_15,10.01,0.13
"(30, 40, 30, 100)",back_6,7.82,0.12
"(30, 40, 40, 0)",back_8,6.93,0.12
"(30, 40, 40, 10)",back_3,8.92,0.13
"(30, 40, 40, 20)",back_6,7.93,0.12
"(30, 40, 40, 40)",front_10,8.38,0.13
"(30, 40, 40, 30)",back_6,7.74,0.12
"(30, 40, 40, 50)",front_10,7.84,0.12
"(30, 40, 40, 60)",back_15,8.34,0.12
"(30, 40, 40, 70)",back_15,8.18,0.12
"(30, 40, 40, 80)",back_15,9.01,0.13
"(30, 40, 40, 90)",front_3,8.5,0.12
"(30, 40, 40, 100)",front_3,8.52,0.12
"(30, 40, 50, 0)",back_2,6.48,0.11
"(30, 40, 50, 10)",back_10,8.09,0.12
"(30, 40, 50, 20)",back_6,8.77,0.13
"(30, 40, 50, 30)",back_8,8.04,0.13
"(30, 40, 50, 40)",front_10,8.08,0.12
"(30, 40, 50, 50)",front_10,7.69,0.12
"(30, 40, 50, 70)",back_15,8.09,0.12
"(30, 40, 50, 60)",back_15,8.06,0.12
"(30, 40, 50, 80)",front_2,8.28,0.12
"(30, 40, 50, 90)",front_2,8.07,0.12
"(30, 40, 50, 100)",front_3,8.5,0.12
"(30, 40, 60, 0)",back_2,7.05,0.11
"(30, 40, 60, 10)",back_10,8.69,0.13
"(30, 40, 60, 20)",back_6,8.49,0.13
"(30, 40, 60, 30)",front_11,8.4,0.13
"(30, 40, 60, 40)",back_10,7.62,0.12
"(30, 40, 60, 50)",back_3,7.66,0.12
"(30, 40, 60, 60)",back_6,7.89,0.12
"(30, 40, 60, 70)",front_10,8.08,0.12
"(30, 40, 60, 80)",front_4,7.57,0.12
"(30, 40, 60, 100)",front_3,7.96,0.12
"(30, 40, 60, 90)",back_9,7.84,0.12
"(30, 40, 70, 0)",back_3,5.59,0.1
"(30, 40, 70, 10)",back_10,8.64,0.13
"(30, 40, 70, 20)",front_11,7.73,0.12
"(30, 40, 70, 30)",front_11,8.21,0.13
"(30, 40, 70, 40)",front_10,7.81,0.12
"(30, 40, 70, 50)",front_10,7.7,0.12
"(30, 40, 70, 60)",back_9,7.83,0.12
"(30, 40, 70, 70)",back_9,7.23,0.12
"(30, 40, 70, 80)",front_4,7.36,0.12
"(30, 40, 70, 90)",back_9,8.01,0.13
"(30, 40, 70, 100)",back_9,8.54,0.13
"(30, 40, 80, 0)",back_8,5.67,0.11
